pos	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T
3591	0	0	13	0	0	0	714	2	2	1	1198	8	0	1	17	1	1	1	7778	16	0	0	8	0	0	0	9	0	0	0	6	0	0	1	1032	5	0	5	1364	3	2	0	1268	5	1	1	571	1	3	2	285	6	0	1	291	3
3592	0	13	0	0	1	707	0	1	0	1201	1	1	1	17	0	0	8	7791	0	4	0	7	0	0	0	10	0	0	0	6	0	0	2	1032	0	0	1	1357	1	1	3	1269	1	2	0	572	0	0	0	293	0	0	1	294	0	0
3593	0	0	0	13	0	0	1	712	0	1	0	1192	0	0	0	18	1	2	1	7825	0	0	0	7	0	0	0	10	0	0	0	6	0	0	0	1034	0	0	1	1361	1	1	0	1267	3	0	0	565	0	1	0	290	1	0	1	290
3594	13	0	0	0	707	1	0	1	1187	2	1	2	18	0	0	0	7824	7	5	7	7	0	0	0	9	0	0	1	6	0	0	0	1029	1	1	2	1346	3	3	1	1269	2	2	2	557	2	0	3	286	1	1	3	283	5	0	3
3595	0	13	0	0	1	704	0	1	5	1182	1	2	0	14	0	0	15	7834	1	2	0	7	0	0	0	10	0	0	0	6	0	0	2	1033	0	0	4	1336	2	1	1	1267	2	2	1	557	0	2	3	285	2	1	1	292	0	0
3596	14	0	0	0	713	0	0	0	1195	1	0	0	14	0	0	0	7755	2	1	2	7	0	0	0	9	0	0	0	6	0	0	0	1033	1	0	0	1349	0	0	0	1274	1	0	1	556	0	0	0	282	1	0	1	292	0	0	0
3597	14	0	0	0	712	0	0	1	1189	2	0	0	14	0	0	0	7729	3	4	2	7	0	0	0	9	0	0	0	6	0	0	0	1029	1	0	2	1341	2	0	2	1276	2	0	0	542	2	0	2	281	1	0	1	287	0	0	0
3598	0	0	0	14	0	0	1	712	1	0	1	1188	0	0	0	15	4	1	3	7746	0	0	0	7	0	0	0	9	0	0	0	6	2	0	3	1020	0	0	1	1335	1	0	2	1275	1	0	2	543	1	0	0	282	0	0	2	284
3599	0	0	13	0	0	0	713	2	3	2	1181	5	0	0	15	0	4	4	7763	5	0	0	7	0	0	0	9	0	0	0	6	0	0	0	1021	3	4	2	1324	8	4	0	1262	5	1	1	541	1	0	1	273	5	0	0	280	3
3600	0	0	0	13	2	0	2	708	3	1	2	1183	0	0	0	15	5	3	3	7767	0	0	0	7	0	0	0	9	0	0	0	6	0	4	3	1014	2	3	2	1327	5	1	4	1255	3	0	0	542	1	1	3	277	1	0	3	276
3601	0	0	13	0	0	0	702	0	2	1	1165	7	1	0	14	0	4	4	7696	8	0	0	7	0	0	0	12	0	0	0	5	0	2	2	1005	4	6	6	1309	2	3	2	1246	5	2	1	542	2	0	5	272	2	2	0	268	5
3602	0	14	0	0	1	693	1	0	3	1153	2	0	0	15	0	0	10	7792	1	1	0	4	0	0	0	12	0	0	0	5	0	0	3	1000	2	2	0	1312	0	1	2	1249	0	0	1	540	1	2	0	271	0	0	2	268	1	1
3603	0	0	0	11	3	1	3	683	1	12	6	1138	0	0	0	15	8	36	12	7714	0	0	0	4	0	0	0	12	0	0	0	6	3	7	2	990	2	10	6	1290	0	9	5	1239	0	9	1	529	0	9	4	259	1	8	2	259
3604	0	11	0	0	2	687	0	1	2	1153	1	1	1	14	0	0	6	7980	0	12	0	4	0	0	0	12	0	0	0	7	0	0	3	993	1	2	2	1294	4	3	2	1244	0	4	0	534	1	1	0	273	0	0	3	260	0	0
3605	0	11	0	0	0	695	1	0	3	1153	1	1	0	15	0	0	5	7991	0	2	0	4	0	0	0	11	0	0	0	7	0	0	1	1000	0	0	2	1298	0	1	1	1244	0	1	0	535	1	0	0	272	0	0	0	262	1	0
3606	0	11	0	0	1	689	0	1	1	1157	0	1	0	15	0	0	5	7992	0	0	0	4	0	0	1	10	0	0	0	6	0	1	0	1001	1	0	1	1308	1	1	1	1253	0	1	0	530	0	1	0	267	0	0	0	261	0	1
3607	0	11	0	0	0	689	2	1	3	1156	0	0	0	16	0	0	7	7990	0	1	0	4	0	0	0	12	0	0	0	7	0	0	1	999	0	0	1	1305	1	0	0	1261	0	0	0	533	0	0	0	265	0	0	1	256	0	0
3608	0	10	0	0	4	684	0	1	3	1155	0	1	0	16	0	0	8	7987	0	3	0	4	0	0	0	12	0	0	0	7	0	0	5	993	0	1	5	1300	0	2	3	1245	1	2	2	531	0	0	1	262	1	0	1	251	0	1
3609	10	0	0	0	686	2	0	0	1165	0	0	0	16	0	0	0	7995	0	0	2	4	0	0	0	13	0	0	0	7	0	0	0	990	0	1	0	1307	0	0	0	1244	0	0	0	530	1	2	0	263	0	0	0	254	1	0	0
3610	10	0	0	0	693	2	0	2	1152	3	0	4	16	0	0	0	7971	10	1	15	4	0	0	0	13	0	0	0	7	0	0	0	996	2	0	0	1310	5	0	2	1234	7	7	3	528	2	2	2	262	2	1	0	244	3	2	4
3611	0	10	0	0	0	700	3	0	3	1159	0	1	0	16	0	0	3	7992	0	3	0	4	0	0	0	13	0	0	0	7	0	0	0	993	0	0	1	1314	0	2	1	1250	0	3	0	534	0	0	1	261	0	2	0	253	0	0
3612	0	0	0	10	2	0	1	697	1	0	0	1163	0	0	0	15	10	3	5	7979	0	0	0	4	0	0	0	13	0	0	0	6	1	0	2	993	0	1	1	1315	0	2	2	1250	0	0	3	538	0	1	0	264	1	0	3	245
3613	0	0	0	10	0	0	0	704	2	0	0	1154	0	0	0	15	1	1	2	7994	0	0	0	4	0	0	0	13	0	0	0	6	1	0	3	993	1	4	3	1304	0	2	2	1253	0	0	0	535	1	0	0	265	0	0	0	250
3614	0	0	10	0	3	1	700	1	5	0	1144	1	0	1	14	0	12	0	7974	11	0	0	3	0	0	0	13	0	0	0	6	0	0	0	985	0	2	0	1297	3	3	0	1246	5	2	2	526	2	2	0	260	1	0	0	247	1
3615	10	0	0	0	697	1	0	0	1141	1	0	0	15	0	0	0	7994	1	1	1	3	0	0	0	13	0	0	0	6	0	0	0	981	0	0	0	1285	0	1	2	1248	0	1	0	527	0	1	2	259	0	0	1	242	1	0	1
3616	0	0	0	10	3	0	0	697	1	1	0	1139	0	0	0	15	0	0	0	7998	0	0	0	3	0	0	0	13	0	0	0	6	1	0	0	980	0	1	0	1291	1	0	1	1243	2	0	1	525	0	1	1	256	1	0	1	239
3617	10	0	0	0	700	0	0	0	1138	2	1	1	15	0	0	0	7991	3	4	0	3	0	0	0	13	0	0	0	6	0	0	0	989	0	0	0	1296	2	2	0	1244	1	2	2	528	0	0	0	257	0	0	1	237	1	0	1
3618	0	0	0	10	0	1	0	697	1	1	0	1139	0	0	0	15	1	2	0	7994	0	0	0	3	1	0	0	13	0	0	0	6	1	0	0	982	1	1	3	1284	1	0	1	1240	0	0	0	521	1	0	0	252	1	1	0	235
3619	0	0	0	10	1	0	0	697	3	1	0	1131	0	0	0	17	4	0	0	7994	0	0	0	3	0	0	0	14	0	0	0	6	3	0	0	984	3	0	2	1283	3	2	0	1237	3	0	0	515	0	0	1	250	1	0	1	231
3620	10	0	0	0	694	2	0	0	1136	0	0	0	17	0	0	0	7998	0	0	0	2	0	0	0	14	0	0	0	6	0	0	0	984	0	0	0	1282	1	0	3	1247	0	1	2	514	0	1	0	252	0	0	0	234	0	0	0
3621	10	0	0	0	691	0	0	0	1127	0	0	0	17	0	0	0	7995	0	1	1	2	0	0	0	14	0	0	0	6	0	0	0	982	1	0	1	1284	0	0	0	1246	0	0	0	513	2	1	0	249	0	0	0	230	0	0	0
3622	0	0	0	10	2	0	1	694	4	1	0	1120	0	0	0	17	4	1	2	7990	0	0	0	2	0	0	0	14	0	0	0	5	3	1	3	972	1	0	1	1283	4	1	1	1236	5	1	0	505	4	1	0	241	8	0	0	217
3623	10	0	0	0	692	1	1	0	1127	0	1	0	17	0	0	0	7997	0	0	0	3	0	0	0	14	0	0	0	5	0	0	0	973	1	1	0	1296	0	1	1	1242	0	0	0	507	0	0	0	246	0	0	0	226	1	0	0
3624	10	0	0	0	700	3	1	0	1129	3	1	1	16	0	1	0	7976	16	2	4	3	0	0	0	14	0	0	0	5	0	0	0	975	6	0	1	1292	8	1	2	1248	7	0	1	491	5	1	3	246	1	1	1	226	1	0	1
3625	0	10	0	0	1	708	0	0	2	1132	1	3	0	15	0	0	4	7992	0	2	0	3	0	0	0	14	0	0	0	5	0	0	2	980	1	1	4	1313	0	1	5	1254	0	2	2	503	0	0	1	247	0	1	5	225	0	0
3626	10	0	0	0	708	6	1	3	1133	6	4	3	15	0	0	0	7969	18	4	7	3	0	0	0	14	0	0	0	5	0	0	0	966	12	1	7	1299	10	4	7	1245	9	1	7	496	7	0	2	235	8	1	3	223	5	1	3
3627	0	10	0	0	0	724	1	0	1	1153	1	2	0	14	0	0	1	7993	1	3	0	3	0	0	0	14	0	0	0	5	0	0	1	998	2	2	1	1318	3	0	1	1269	0	3	3	502	0	0	1	246	0	1	4	230	1	0
3628	0	0	0	10	1	2	3	721	1	0	1	1157	0	0	1	13	5	1	4	7988	0	0	0	3	0	0	0	14	0	0	0	5	1	0	2	998	5	0	2	1331	6	2	1	1278	3	1	1	497	1	0	0	247	3	2	1	226
3629	10	0	0	0	726	0	0	0	1157	0	0	1	14	0	0	0	7995	0	2	0	4	0	0	0	15	0	0	0	5	0	0	0	997	0	0	1	1326	0	0	0	1280	1	2	2	501	1	0	1	242	0	0	0	226	0	0	0
3630	0	0	0	10	3	0	2	720	5	1	1	1140	0	0	0	14	9	7	4	7977	0	0	0	4	0	0	0	14	0	0	0	5	4	1	1	1000	4	3	2	1317	4	1	2	1285	2	2	4	496	5	2	3	230	2	0	2	223
3631	11	0	0	0	729	0	0	0	1147	3	1	0	13	1	0	0	7989	3	4	2	3	0	1	0	16	0	0	0	5	0	0	0	1005	1	2	0	1347	1	3	0	1290	0	1	1	496	4	2	0	235	0	0	1	225	1	0	0
3632	0	0	10	0	1	0	723	1	3	1	1143	1	0	0	12	0	3	2	7992	1	0	0	4	0	0	0	16	0	0	0	5	0	5	1	996	0	1	1	1350	1	2	1	1285	1	2	1	499	1	0	0	231	0	0	0	223	0
3633	10	0	0	0	706	15	5	0	1115	20	5	7	12	0	0	0	7916	71	5	6	4	0	0	0	16	0	0	0	5	0	0	0	951	26	11	8	1300	32	9	8	1258	20	9	7	456	41	3	3	199	19	3	7	206	10	3	3
3634	0	9	0	0	0	735	0	0	1	1150	0	1	0	12	0	0	3	7990	1	3	0	4	0	0	1	15	0	0	0	5	0	0	0	990	1	1	0	1360	0	0	1	1300	0	0	0	502	0	0	0	230	0	0	0	222	0	0
3635	0	9	0	0	2	740	1	2	3	1171	0	1	0	12	0	0	8	7985	1	4	0	4	0	0	0	16	0	0	0	5	0	0	2	992	0	3	3	1361	2	2	5	1310	0	2	4	497	0	0	1	223	0	1	1	217	0	0
3636	9	0	0	0	696	29	9	8	1130	39	6	7	14	1	0	0	7855	111	10	22	4	0	0	0	15	1	0	0	4	0	0	1	927	42	8	10	1296	55	14	7	1234	48	19	8	430	53	6	6	191	26	1	4	191	16	5	4
3637	0	9	0	0	1	742	2	0	3	1174	1	1	0	15	0	0	4	7990	1	3	0	4	0	0	0	16	0	0	0	6	0	0	1	982	1	1	2	1364	0	1	1	1304	2	1	0	498	0	0	0	219	1	0	1	209	0	0
3638	0	9	0	0	0	742	1	2	1	1172	0	0	0	15	0	0	5	7989	1	3	0	4	0	0	0	16	0	0	0	6	0	0	1	992	1	1	1	1363	1	0	1	1303	3	1	0	499	0	0	0	216	2	1	0	209	1	0
3639	0	0	9	0	1	3	736	1	3	2	1167	3	0	0	15	0	1	10	7983	4	0	0	4	0	0	0	16	0	0	0	6	0	1	7	976	4	1	7	1356	3	0	6	1292	3	0	8	492	1	0	5	209	0	0	6	201	0
3640	0	8	0	0	2	734	0	1	1	1171	1	1	0	15	0	0	3	7994	0	1	0	4	0	0	0	14	1	1	0	6	0	0	3	983	2	1	3	1367	1	2	2	1301	3	0	0	500	1	0	2	209	0	0	1	199	0	1
3641	0	8	0	0	1	735	2	1	0	1170	1	0	0	15	0	0	1	7995	1	1	0	4	0	0	0	16	0	0	0	6	0	0	3	983	2	0	0	1372	1	1	3	1314	0	1	1	492	1	1	0	204	0	0	1	195	0	1
3642	0	8	0	0	3	729	1	1	6	1161	2	0	0	15	0	0	1	7996	0	1	0	4	0	0	0	16	0	0	0	6	0	0	2	982	3	3	4	1367	4	3	3	1316	2	1	3	490	1	0	1	204	1	0	1	195	1	1
3643	0	8	0	0	1	723	6	0	4	1166	5	2	0	15	0	0	6	7984	5	3	0	4	0	0	0	16	0	0	0	6	0	0	5	982	6	0	7	1364	13	5	9	1307	8	0	2	489	3	0	3	204	3	0	3	186	2	0
3644	0	0	8	0	1	2	730	1	3	0	1182	1	0	0	15	0	3	2	7987	6	0	0	4	0	0	0	16	0	0	0	6	0	2	1	991	1	6	2	1382	2	3	0	1333	1	1	0	486	1	2	0	205	3	1	0	189	1
3645	8	0	0	0	731	3	0	0	1191	0	2	0	15	0	0	0	7993	2	2	1	4	0	0	0	15	0	0	1	6	0	0	0	997	0	1	1	1386	2	2	1	1336	1	3	1	483	2	3	1	207	0	1	1	192	0	3	0
3646	8	0	0	0	730	1	3	0	1186	2	3	0	15	0	0	0	7989	1	6	2	4	0	0	0	16	0	0	0	6	0	0	0	990	3	5	2	1392	3	7	1	1333	2	2	2	477	1	14	0	208	0	3	1	194	1	4	0
3647	0	0	8	0	0	0	737	1	1	2	1200	0	0	0	15	0	1	0	7994	3	0	0	4	0	0	0	17	0	0	0	6	0	0	0	998	0	0	0	1414	1	1	0	1341	0	1	0	487	1	0	1	214	0	1	1	198	1
3648	0	0	7	0	0	0	732	2	0	2	1201	0	0	0	15	0	2	1	7993	2	0	0	4	0	0	0	17	0	0	0	6	0	1	0	1002	2	0	2	1416	5	3	0	1328	7	0	1	489	1	0	0	213	2	0	0	199	1
3649	0	0	7	0	0	2	738	0	0	0	1199	0	0	0	15	0	5	0	7986	5	0	0	4	0	0	0	17	0	0	0	6	0	1	0	1003	1	2	2	1415	2	1	2	1336	4	1	1	485	1	0	0	217	1	0	0	197	2
3650	0	0	7	0	1	0	738	5	2	1	1198	0	0	0	14	1	1	2	7987	7	0	0	4	0	0	0	16	1	0	0	6	0	1	1	993	4	3	2	1418	0	3	1	1340	1	1	0	482	3	1	1	212	1	1	1	192	4
3651	7	0	0	0	733	6	3	1	1204	2	4	2	14	0	0	1	7981	4	8	3	3	1	0	0	18	0	0	0	6	0	0	0	989	2	6	1	1413	2	2	3	1346	2	3	0	486	2	0	0	213	1	2	1	192	1	2	2
3652	0	7	0	0	1	741	0	0	2	1215	0	1	0	15	0	0	4	7985	2	3	0	4	0	0	0	19	0	0	0	6	0	0	2	995	0	0	1	1414	0	0	1	1343	0	2	2	488	0	0	2	213	0	0	1	193	1	0
3653	0	0	7	0	2	0	731	2	2	1	1213	1	0	0	15	0	3	1	7991	2	0	0	4	0	0	0	19	0	0	0	5	0	1	1	988	2	2	1	1387	6	1	0	1336	1	1	0	488	2	0	2	211	1	0	1	192	0
3654	7	0	0	0	736	2	0	0	1204	3	0	1	16	0	0	0	7994	0	2	2	4	0	0	0	19	0	0	0	5	0	0	0	987	4	0	0	1390	2	0	2	1339	1	2	2	485	0	2	0	213	0	1	0	191	0	0	2
3655	7	0	0	0	740	1	0	0	1207	0	1	1	16	0	0	0	7996	0	1	1	4	0	0	0	19	0	0	0	5	0	0	0	992	0	1	0	1395	2	1	1	1360	2	0	0	495	0	1	0	213	0	0	0	194	0	0	0
3656	7	0	0	0	740	0	0	0	1205	1	1	0	16	0	0	0	7990	2	5	1	4	0	0	0	19	0	0	0	5	0	0	0	996	0	0	1	1398	1	3	0	1358	1	1	0	490	1	0	0	210	0	1	1	196	0	0	0
3657	7	0	0	0	744	1	0	1	1200	4	0	2	16	0	0	0	7997	1	0	0	4	0	0	0	19	0	0	0	5	0	0	0	1003	0	0	0	1402	2	0	1	1360	1	0	2	488	0	1	0	210	2	1	0	195	1	0	0
3658	7	0	0	0	753	0	0	0	1192	2	2	3	15	0	0	0	7994	0	0	4	4	0	0	0	18	0	1	0	5	0	0	0	1005	0	0	2	1410	0	0	2	1357	1	1	1	486	0	0	0	214	0	0	0	195	2	0	0
3659	0	0	0	7	1	0	1	751	2	1	1	1196	1	0	0	14	2	0	1	7995	0	0	0	4	0	0	0	18	0	0	0	5	4	0	2	1006	5	1	3	1393	2	0	5	1354	2	0	0	484	0	0	0	215	1	1	0	196
3660	0	0	7	0	0	0	756	3	1	0	1197	3	0	0	15	0	1	0	7992	5	0	0	5	0	0	0	19	0	0	0	5	0	3	2	1002	1	1	2	1396	2	0	2	1348	2	0	0	491	0	0	1	208	2	0	0	193	1
3661	0	0	7	0	1	1	755	0	1	0	1200	0	0	0	15	0	0	0	7994	2	0	0	5	0	0	0	19	0	0	0	5	0	1	1	1004	1	0	1	1393	2	1	0	1349	3	0	0	490	1	0	0	210	1	0	0	192	2
3662	0	0	0	7	3	8	5	742	6	4	7	1184	0	0	0	15	10	2	13	7973	0	0	0	5	0	1	0	18	0	0	0	5	5	3	6	986	8	3	14	1368	6	3	11	1331	8	3	6	474	3	1	2	209	4	0	3	186
3663	0	0	0	7	0	0	0	762	0	2	0	1194	0	0	0	15	1	1	1	7993	0	0	0	4	0	0	0	20	0	0	0	5	1	0	0	991	1	0	0	1387	1	0	0	1349	0	0	0	489	0	0	0	216	0	0	0	191
3664	0	0	0	7	0	0	0	766	2	0	0	1197	0	0	0	14	1	0	1	7995	0	0	0	4	0	0	0	20	0	0	0	6	1	0	1	986	0	0	2	1383	0	0	0	1341	0	0	0	490	0	1	0	215	1	0	0	192
3665	0	0	0	7	0	0	0	765	0	1	1	1203	0	0	0	14	2	3	1	7992	0	0	0	4	0	0	0	20	0	0	0	6	0	1	0	992	1	0	2	1389	0	0	2	1345	2	0	0	488	0	0	1	214	0	0	1	189
3666	0	0	0	7	0	0	0	766	0	1	0	1198	0	0	0	14	2	1	1	7907	0	0	0	5	0	0	0	19	0	0	0	6	1	0	0	997	0	1	0	1399	0	0	0	1355	1	0	1	495	0	0	0	214	0	1	0	189
3667	7	0	0	0	766	1	0	1	1205	1	1	1	14	0	0	0	7833	2	0	1	5	0	0	0	19	0	0	0	6	0	0	0	984	2	0	2	1400	1	1	0	1366	0	0	1	497	0	0	0	211	0	0	0	185	0	0	0
3668	0	0	6	0	1	0	772	0	0	0	1198	2	0	0	14	0	2	0	7806	8	0	0	5	0	0	0	19	0	0	0	6	0	1	0	991	0	0	0	1415	0	0	0	1372	1	0	0	494	2	0	1	211	0	0	0	181	0
3669	6	0	0	0	765	0	0	0	1192	0	0	0	14	0	0	0	7743	1	2	2	5	0	0	0	19	0	0	0	6	0	0	0	985	0	0	0	1411	0	0	0	1366	0	0	1	490	1	0	0	211	0	0	0	179	0	0	0
3670	0	0	6	0	0	1	761	0	1	1	1194	2	0	0	15	0	5	0	7793	4	0	0	5	0	0	0	19	0	0	0	6	0	1	0	979	1	4	0	1402	2	0	1	1368	1	0	0	493	1	0	1	210	0	1	0	178	1
3671	6	0	0	0	765	1	0	0	1200	1	0	0	16	0	0	0	7809	0	1	1	5	0	0	0	18	0	0	0	6	0	0	0	974	0	2	0	1401	2	0	0	1374	0	0	0	498	0	0	1	209	0	0	1	183	0	0	1
3672	6	0	0	0	769	0	0	0	1186	1	3	1	15	0	0	0	7768	3	2	4	4	0	0	0	18	0	0	0	6	0	0	0	967	2	2	1	1393	2	1	0	1371	1	1	0	492	3	1	1	201	3	0	3	176	2	2	0
3673	0	6	0	0	2	764	0	0	3	1182	2	2	0	15	0	0	9	7813	2	6	0	4	0	0	1	17	0	0	0	6	0	0	4	964	1	4	4	1386	0	0	3	1363	2	1	5	486	1	2	4	202	1	0	0	180	0	0
3674	0	0	6	0	1	0	759	0	3	1	1177	4	0	0	15	0	1	2	7784	5	0	0	4	0	0	0	19	0	0	0	6	0	1	1	971	1	1	1	1388	2	0	0	1370	4	2	0	496	2	1	0	207	1	2	0	178	1
3675	6	0	0	0	758	2	0	2	1186	0	3	1	15	0	0	0	7802	2	7	3	4	0	0	0	18	0	0	0	6	0	0	0	970	1	4	4	1395	2	2	0	1377	0	2	1	504	1	1	0	208	0	2	0	178	1	0	0
3676	0	0	6	0	1	0	761	2	1	0	1187	4	0	0	15	0	2	0	7762	1	0	0	4	0	0	0	18	0	0	0	6	0	0	1	980	1	1	0	1393	0	0	1	1379	4	1	0	507	1	0	1	204	3	0	0	176	1
3677	7	0	0	0	760	1	3	1	1194	1	1	0	15	0	0	0	7687	2	3	4	4	0	0	0	18	0	0	0	6	0	0	0	982	0	2	0	1396	0	0	2	1386	1	2	0	504	2	0	0	210	0	0	0	176	0	0	0
3678	7	0	0	0	766	1	1	0	1192	2	0	1	15	0	0	0	7723	1	2	2	4	0	0	0	18	0	0	0	6	0	0	0	982	3	0	0	1392	0	1	3	1386	0	1	0	499	1	0	0	206	1	0	0	176	0	0	0
3679	0	0	8	0	2	0	766	2	3	2	1187	2	0	0	15	0	3	0	7784	8	0	0	4	0	0	0	18	0	0	0	6	0	0	0	977	0	2	0	1399	2	0	1	1381	2	1	0	502	0	2	1	202	2	0	2	172	1
3680	7	0	1	0	768	3	1	1	1183	5	4	1	15	0	0	0	7803	2	6	1	5	0	0	0	18	0	1	0	6	0	0	0	963	4	3	1	1392	1	0	2	1379	3	2	1	498	3	1	0	202	2	1	1	166	5	3	0
3681	0	8	0	0	2	771	1	0	2	1203	0	0	0	16	0	0	8	7772	0	1	0	5	0	0	0	18	0	0	0	6	0	0	3	973	1	0	3	1400	0	2	2	1381	1	1	0	500	2	0	1	200	0	0	1	175	0	0
3682	0	0	8	1	1	1	772	2	1	0	1201	2	0	0	16	0	3	1	7817	9	0	0	5	0	0	0	19	0	0	0	6	0	0	1	978	5	1	1	1405	2	0	1	1380	3	1	0	509	1	0	1	195	4	0	0	176	0
3683	0	0	8	0	3	0	776	2	1	0	1204	4	0	0	15	0	2	1	7774	9	0	0	5	0	0	0	19	0	0	0	6	0	0	1	988	1	1	0	1396	6	1	1	1389	1	2	0	505	1	0	0	198	1	0	1	169	2
3684	0	0	0	8	3	0	7	769	6	0	3	1203	0	0	0	15	6	3	5	7778	0	0	0	5	0	0	1	18	0	0	0	6	3	0	3	984	4	1	7	1385	3	0	5	1384	3	0	9	501	2	2	3	193	0	0	1	173
3685	0	0	0	8	1	0	0	780	0	0	2	1210	0	0	0	15	0	3	2	7786	0	0	0	5	0	0	0	19	0	0	0	6	1	0	0	990	0	0	1	1408	1	1	3	1387	1	0	1	512	0	0	0	203	0	0	0	174
3686	8	0	0	0	774	1	1	1	1203	0	2	5	14	1	0	0	7838	3	2	2	5	0	0	0	19	0	0	0	4	0	0	0	987	1	1	1	1399	4	2	2	1381	6	2	1	507	2	2	4	202	1	0	0	172	1	1	0
3687	0	8	0	0	2	770	1	2	3	1204	1	2	0	13	0	0	8	7760	1	3	0	5	0	0	0	20	0	0	0	4	0	0	2	991	0	1	1	1396	1	1	2	1381	5	1	3	509	0	0	1	201	0	0	1	170	1	0
3688	0	0	8	0	0	0	772	1	1	3	1201	1	0	0	12	0	8	1	7780	4	0	0	5	0	0	0	20	0	0	0	4	0	2	1	985	2	1	0	1401	3	0	0	1379	4	0	0	516	0	0	2	197	0	0	0	170	0
3689	0	8	0	0	0	766	1	1	1	1203	1	0	0	12	0	0	3	7761	1	2	0	5	0	0	0	21	0	0	0	5	0	0	1	991	0	1	4	1403	4	1	3	1382	1	4	1	515	1	0	1	198	0	0	2	167	0	0
3690	8	0	0	0	775	2	0	0	1214	1	1	0	12	0	0	0	7823	1	1	1	5	0	0	0	21	0	0	0	5	0	0	0	999	1	0	1	1419	1	0	1	1395	2	2	1	524	0	0	0	202	0	0	0	170	0	1	2
3691	0	0	8	0	0	1	775	1	1	1	1217	2	0	0	12	0	0	0	7802	2	0	0	5	0	0	0	21	0	0	0	5	0	0	1	994	3	0	1	1422	0	0	1	1396	0	1	0	522	1	0	0	202	0	0	0	171	1
3692	0	0	0	8	5	2	3	765	3	2	4	1209	0	0	0	12	7	1	5	7783	0	0	0	5	0	0	0	21	0	0	0	5	1	3	2	986	3	1	3	1408	4	2	4	1382	1	0	4	523	0	1	2	199	0	1	2	169
3693	0	0	0	8	1	0	1	765	2	1	0	1218	0	0	0	12	1	2	5	7793	0	0	0	5	0	0	0	21	0	0	0	5	1	0	2	990	1	1	3	1406	0	1	2	1395	0	0	0	529	1	0	1	196	1	1	1	168
3694	0	0	0	9	0	0	1	768	0	1	2	1213	0	0	0	12	3	0	1	7825	0	0	0	5	0	0	0	21	0	0	0	5	1	0	1	985	1	0	1	1408	1	0	3	1387	0	1	0	531	0	0	0	198	0	1	0	169
3695	0	0	0	9	1	0	0	766	1	0	1	1214	0	0	0	12	1	0	2	7840	0	0	0	5	0	0	0	21	0	0	0	5	0	0	0	989	1	0	0	1411	1	2	1	1393	0	0	0	535	0	0	0	195	0	0	1	169
3696	0	0	8	0	1	0	760	1	0	0	1207	4	0	0	12	0	1	2	7845	4	0	0	5	0	0	0	21	0	0	0	5	0	1	0	980	5	0	1	1400	1	0	0	1392	0	0	0	532	0	0	0	189	2	1	0	164	1
3697	0	8	0	0	1	758	1	1	3	1203	0	2	1	11	0	0	4	7768	3	5	0	5	0	0	0	21	0	0	0	5	0	0	4	983	1	1	3	1403	3	2	3	1380	3	2	2	529	1	0	0	192	1	0	2	165	0	0
3698	0	8	0	0	1	756	1	0	3	1203	2	1	0	10	1	0	4	7784	2	0	0	5	0	0	0	21	0	0	0	5	0	0	5	985	1	0	4	1413	2	1	1	1389	0	3	1	534	1	1	0	191	1	0	2	166	0	0
3699	0	0	8	0	0	0	757	0	1	0	1205	1	0	0	12	0	2	3	7749	1	0	0	5	0	0	0	21	0	0	0	5	0	2	1	986	1	1	1	1416	4	0	1	1387	3	0	0	538	0	0	1	188	0	0	2	163	1
3700	0	8	0	0	1	758	0	0	1	1198	1	1	0	12	0	0	6	7770	0	1	0	6	0	0	0	21	0	0	0	5	0	0	2	984	2	0	5	1410	1	5	4	1387	0	0	1	537	1	0	0	188	1	0	0	166	0	1
3701	8	0	0	0	752	2	0	1	1208	1	0	0	12	0	0	0	7772	1	3	1	6	0	0	0	19	0	0	0	5	0	0	0	993	0	0	1	1421	2	0	0	1388	3	1	1	538	0	0	0	187	1	0	0	165	0	0	1
3702	7	0	0	0	751	0	0	0	1211	0	0	0	13	0	0	0	7696	0	2	4	6	0	0	0	19	0	0	0	5	0	0	0	994	0	0	1	1422	1	1	1	1386	2	1	0	534	0	0	0	184	1	0	0	164	1	0	0
3703	0	0	7	0	0	2	746	2	1	0	1205	3	0	0	13	0	2	2	7747	3	0	0	6	0	0	0	19	0	0	0	4	0	1	1	989	2	2	0	1414	2	1	3	1378	1	0	0	532	1	1	0	182	3	1	1	164	2
3704	0	6	0	0	1	747	3	0	2	1206	1	1	0	13	0	0	2	7764	0	2	0	6	0	0	0	19	0	0	0	3	0	0	1	993	1	0	0	1418	2	0	1	1384	0	1	0	532	2	1	2	179	3	1	0	168	1	1
3705	0	0	0	6	1	0	0	749	0	0	0	1211	0	0	0	13	1	5	1	7991	0	0	0	6	0	0	0	19	0	0	0	3	0	3	0	987	0	0	1	1423	1	0	2	1387	0	0	0	538	0	0	0	187	0	2	3	165
3706	0	0	6	0	0	0	746	3	1	1	1208	2	0	0	13	0	1	1	7986	10	0	0	6	0	0	0	21	0	0	0	3	0	1	1	982	0	1	1	1407	1	3	1	1375	3	0	0	536	2	0	1	186	1	0	2	166	2
